Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,5.161518,5.256808,5.129755,5.145637,1.175890,1420670
1982-01-04,5.097992,5.129755,5.050347,5.066229,1.157744,2069219
1982-01-05,4.939176,5.034466,4.843886,4.875650,1.114193,4173857
1982-01-06,4.843886,5.002702,4.685071,4.780360,1.092417,3855878
1982-01-07,4.732715,4.780360,4.685071,4.732715,1.081529,1511183
1982-01-08,4.716834,4.780360,4.637426,4.637426,1.059753,1861431
1982-01-11,4.542136,4.653307,4.415083,4.446847,1.016202,2428125
1982-01-12,4.399202,4.494491,4.303912,4.367439,0.998055,3504056
1982-01-13,4.415083,4.478610,4.335675,4.351557,0.994426,1692210
1982-01-14,4.383320,4.478610,4.288031,4.478610,1.023460,2596559
1982-01-15,4.748597,4.986821,4.510373,4.923294,1.125080,7508692
1982-01-18,4.955058,5.097992,4.796242,5.097992,1.165003,7078162
1982-01-19,5.050347,5.177400,4.923294,4.955058,1.132339,7444152
1982-01-20,4.780360,4.907413,4.653307,4.716834,1.077900,5527625
1982-01-21,4.812123,4.875650,4.732715,4.812123,1.099676,7028576
1982-01-22,4.843886,4.891531,4.780360,4.796242,1.096046,2916898
1982-01-25,4.843886,4.970939,4.716834,4.970939,1.135968,3098713
1982-01-26,4.986821,5.082110,4.891531,4.923294,1.125080,3584338
1982-01-27,4.955058,5.018584,4.891531,4.955058,1.132339,2958613
1982-01-28,4.970939,5.018584,4.907413,4.986821,1.139597,4318678
1982-01-29,5.018584,5.097992,4.939176,4.955058,1.132339,6637400
1982-02-01,4.812123,4.891531,4.716834,4.812123,1.115406,2565076
1982-02-02,4.764478,4.812123,4.700952,4.700952,1.089637,2463543
1982-02-03,4.621544,4.748597,4.494491,4.526255,1.049144,2934214
1982-02-04,4.605663,4.700952,4.494491,4.685071,1.085956,4710641
1982-02-05,4.669189,4.748597,4.589781,4.700952,1.089637,4278538
1982-02-08,4.573899,4.700952,4.446847,4.462728,1.034419,2663460
1982-02-09,4.383320,4.462728,4.303912,4.367439,1.012332,4531188
1982-02-10,4.430965,4.462728,4.383320,4.415083,1.023375,3217561
1982-02-11,4.669189,4.891531,4.430965,4.891531,1.133811,5796804
1982-02-12,4.732715,4.891531,4.558018,4.685071,1.085956,8000613
1982-02-16,4.621544,4.732715,4.510373,4.700952,1.089637,3146724
1982-02-17,4.558018,4.685071,4.415083,4.478610,1.038100,3310436
1982-02-18,4.478610,4.542136,4.399202,4.430965,1.027056,2898796
1982-02-19,4.319794,4.462728,4.176859,4.256267,0.986563,4030609
1982-02-22,4.049807,4.272149,3.827464,3.906872,0.905576,3710270
1982-02-23,4.097451,4.288031,3.906872,4.224504,0.979201,4094362
1982-02-24,4.240386,4.351557,4.129215,4.208623,0.975520,5476465
1982-02-25,4.113333,4.208623,4.018044,4.065688,0.942388,2432848
1982-02-26,4.081570,4.129215,4.018044,4.081570,0.946070,2063710
1982-03-01,4.049807,4.097451,4.002162,4.002162,0.927664,2313212
1982-03-02,3.954517,4.049807,3.843346,3.875109,0.898214,2203022
1982-03-03,3.763938,3.827464,3.684530,3.763938,0.872446,4190385
1982-03-04,3.795701,3.843346,3.732175,3.763938,0.872446,4446184
1982-03-05,3.748056,3.827464,3.652767,3.700412,0.857721,2695731
1982-03-08,3.636885,3.763938,3.509832,3.541596,0.820909,2157371
1982-03-09,3.557477,3.684530,3.430425,3.589240,0.831952,2588688
1982-03-10,3.557477,3.605122,3.493951,3.493951,0.809865,3031811
1982-03-11,3.509832,3.557477,3.446306,3.509832,0.813546,4148670
1982-03-12,3.525714,3.589240,3.462188,3.589240,0.831952,2238440
1982-03-15,3.684530,3.811583,3.557477,3.811583,0.883489,2013337
1982-03-16,3.732175,3.795701,3.652767,3.748056,0.868764,1831523
1982-03-17,3.605122,3.668648,3.541596,3.621004,0.839315,1000372
1982-03-18,3.652767,3.684530,3.605122,3.652767,0.846678,1294738
1982-03-19,3.668648,3.716293,3.621004,3.684530,0.854040,1327795
1982-03-22,3.732175,3.763938,3.684530,3.716293,0.861402,1268764
1982-03-23,3.684530,3.732175,3.636885,3.668648,0.850358,1097969
1982-03-24,3.732175,3.763938,3.684530,3.748056,0.868764,3734669
1982-03-25,3.716293,3.748056,3.684530,3.684530,0.854040,1755963
1982-03-26,3.700412,3.779820,3.621004,3.732175,0.865083,1722119
1982-03-29,3.763938,3.843346,3.668648,3.843346,0.890851,1341962
1982-03-30,3.811583,3.875109,3.748056,3.843346,0.890851,2434422
1982-03-31,3.906872,3.954517,3.843346,3.922754,0.909258,2202235
1982-04-01,3.970399,4.033925,3.906872,4.018044,0.931345,2661886
1982-04-02,4.097451,4.145096,4.033925,4.145096,0.960795,1929907
1982-04-05,4.113333,4.160978,4.065688,4.113333,0.953432,2044820
1982-04-06,4.065688,4.113333,4.002162,4.097451,0.949751,4173857
1982-04-07,4.081570,4.129215,4.018044,4.049807,0.938707,1360065
1982-04-08,4.129215,4.176859,4.081570,4.129215,0.957113,1422244
1982-04-12,4.081570,4.145096,4.002162,4.018044,0.931345,1116072
1982-04-13,3.986280,4.049807,3.906872,3.906872,0.905576,1456088
1982-04-14,3.954517,3.986280,3.922754,3.970399,0.920302,1312840
1982-04-15,4.018044,4.097451,3.938636,4.065688,0.942388,1554472
1982-04-16,4.081570,4.113333,4.033925,4.033925,0.935026,2216402
1982-04-19,3.954517,4.033925,3.859228,3.875109,0.898214,1730777
1982-04-20,3.859228,3.890991,3.827464,3.843346,0.890851,1189270
1982-04-21,3.875109,3.938636,3.811583,3.906872,0.905576,1086163
1982-04-22,4.002162,4.049807,3.938636,4.033925,0.935026,1765408
1982-04-23,4.113333,4.160978,4.049807,4.129215,0.957113,3086907
1982-04-26,4.081570,4.145096,4.002162,4.049807,0.938707,2420254
1982-04-27,4.065688,4.097451,4.033925,4.065688,0.942388,2074729
1982-04-28,4.033925,4.065688,4.002162,4.018044,0.931345,1167232
1982-04-29,4.002162,4.033925,3.954517,3.954517,0.916620,867356
1982-04-30,3.986280,4.018044,3.954517,4.002162,0.927664,2635913
1982-05-03,3.922754,3.954517,3.890991,3.906872,0.921669,1744157
1982-05-04,3.906872,3.954517,3.859228,3.890991,0.917923,2180984
1982-05-05,3.954517,4.002162,3.890991,3.970399,0.936656,3184504
1982-05-06,4.065688,4.129215,3.986280,4.129215,0.974122,5733051
1982-05-07,4.224504,4.272149,4.160978,4.224504,0.996602,4443036
1982-05-10,4.192741,4.240386,4.129215,4.176859,0.985362,2336824
1982-05-11,4.224504,4.288031,4.160978,4.256267,1.004095,3727585
1982-05-12,4.224504,4.288031,4.160978,4.192741,0.989109,1574936
1982-05-13,4.176859,4.208623,4.145096,4.145096,0.977868,1368723
1982-05-14,4.097451,4.145096,4.049807,4.065688,0.959135,777630
1982-05-17,4.049807,4.081570,4.002162,4.033925,0.951642,1119220
1982-05-18,3.986280,4.018044,3.938636,3.954517,0.932909,1269551
1982-05-19,3.986280,4.018044,3.938636,3.954517,0.932909,1154638
1982-05-20,3.986280,4.033925,3.938636,3.970399,0.936656,2324231
1982-05-21,3.938636,3.970399,3.906872,3.906872,0.921669,1580446
1982-05-24,3.986280,4.033925,3.938636,3.970399,0.936656,2324231
1982-05-25,4.081570,4.145096,4.002162,4.033925,0.951642,3437155
1982-05-26,3.986280,4.018044,3.954517,3.954517,0.932909,1589891
1982-05-27,3.938636,3.970399,3.890991,3.890991,0.917923,3055424
1982-05-28,3.890991,3.922754,3.859228,3.859228,0.910429,1189270
1982-06-01,3.906872,3.954517,3.859228,3.938636,0.929162,1726055
1982-06-02,3.954517,3.970399,3.922754,3.970399,0.936656,2166816
1982-06-03,3.986280,4.018044,3.954517,4.002162,0.944149,1976344
1982-06-04,3.954517,3.986280,3.906872,3.938636,0.929162,1069634
1982-06-07,3.970399,4.033925,3.906872,4.018044,0.947896,1779576
1982-06-08,4.049807,4.081570,4.002162,4.018044,0.947896,1400206
1982-06-09,4.033925,4.049807,4.002162,4.002162,0.944149,1526925
1982-06-10,4.049807,4.081570,4.018044,4.065688,0.959135,1888192
1982-06-11,4.097451,4.129215,4.065688,4.065688,0.959135,1404928
1982-06-14,4.018044,4.081570,3.954517,3.954517,0.932909,1601697
1982-06-15,3.922754,3.970399,3.859228,3.875109,0.914176,811474
1982-06-16,3.827464,3.890991,3.763938,3.779820,0.891696,1290015
1982-06-17,3.684530,3.763938,3.605122,3.684530,0.869216,2572947
1982-06-18,3.700412,3.716293,3.668648,3.716293,0.876710,1111349
1982-06-21,3.732175,3.779820,3.684530,3.748056,0.884203,1695359
1982-06-22,3.684530,3.748056,3.621004,3.652767,0.861723,4038480
1982-06-23,3.668648,3.748056,3.573359,3.716293,0.876710,2429699
1982-06-24,3.811583,3.890991,3.716293,3.843346,0.906682,2650080
1982-06-25,3.938636,4.002162,3.875109,3.938636,0.929162,1656005
1982-06-28,4.033925,4.129215,3.922754,3.970399,0.936656,1820504
1982-06-29,4.018044,4.113333,3.922754,4.002162,0.944149,3777171
1982-06-30,3.875109,4.002162,3.748056,3.779820,0.891696,3515862
1982-07-01,3.795701,3.827464,3.763938,3.827464,0.902936,1789021
1982-07-02,3.843346,3.890991,3.779820,3.890991,0.917923,879949
1982-07-06,3.827464,3.875109,3.779820,3.843346,0.906682,761101
