Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.482070,1.471596,1.471596,0.705920,4774
1980-03-18,0.000000,1.466359,1.450648,1.455885,0.698384,938038
1980-03-19,0.000000,1.455885,1.434937,1.434937,0.688335,202883
1980-03-20,0.000000,1.445411,1.424463,1.424463,0.683310,40577
1980-03-21,0.000000,1.424463,1.424463,1.424463,0.683310,83540
1980-03-24,0.000000,1.445411,1.413989,1.424463,0.683310,398606
1980-03-25,0.000000,1.424463,1.408752,1.424463,0.683310,167080
1980-03-26,0.000000,1.445411,1.403515,1.403515,0.673261,625358
1980-03-27,0.000000,1.403515,1.382567,1.382567,0.663213,143212
1980-03-28,0.000000,1.413989,1.398278,1.413989,0.678286,451117
1980-03-31,0.000000,1.455885,1.424463,1.455885,0.698384,1515659
1980-04-01,0.000000,1.476833,1.445411,1.476833,0.708432,386672
1980-04-02,0.000000,1.497781,1.466359,1.487307,0.713457,1885623
1980-04-03,0.000000,1.513492,1.497781,1.508255,0.723505,69219
1980-04-07,0.000000,1.518729,1.508255,1.508255,0.723505,50124
1980-04-08,0.000000,1.503018,1.466359,1.482070,0.710944,303132
1980-04-09,0.000000,1.529203,1.476833,1.476833,0.708432,293584
1980-04-10,0.000000,1.529203,1.497781,1.497781,0.718481,195723
1980-04-11,0.000000,1.508255,1.508255,1.508255,0.723505,644453
1980-04-14,0.000000,1.497781,1.487307,1.497781,0.718481,179015
1980-04-15,0.000000,1.518729,1.497781,1.497781,0.718481,880753
1980-04-16,0.000000,1.508255,1.497781,1.508255,0.723505,214818
1980-04-17,0.000000,1.497781,1.487307,1.487307,0.713457,310292
1980-04-18,0.000000,1.476833,1.466359,1.466359,0.703408,35803
1980-04-21,0.000000,1.476833,1.434937,1.445411,0.693360,436796
1980-04-22,0.000000,1.497781,1.455885,1.487307,0.713457,747088
1980-04-23,0.000000,1.508255,1.487307,1.497781,0.718481,1546688
1980-04-24,0.000000,1.518729,1.476833,1.518729,0.728530,233913
1980-04-25,0.000000,1.508255,1.497781,1.508255,0.723505,40577
1980-04-28,0.000000,1.518729,1.497781,1.508255,0.723505,355643
1980-04-29,0.000000,1.523966,1.487307,1.497781,0.718481,517949
1980-04-30,0.000000,1.503018,1.471596,1.503018,0.720993,102635
1980-05-01,0.000000,1.518729,1.466359,1.466359,0.703408,465438
1980-05-02,0.000000,1.476833,1.445411,1.445411,0.693360,887913
1980-05-05,0.000000,1.455885,1.382567,1.403515,0.673261,398606
1980-05-06,0.000000,1.424463,1.382567,1.403515,0.673261,88314
1980-05-07,0.000000,1.419226,1.413989,1.419226,0.680798,33416
1980-05-08,0.000000,1.424463,1.408752,1.424463,0.683310,38190
1980-05-09,0.000000,1.419226,1.398278,1.398278,0.670749,62058
1980-05-12,0.000000,1.413989,1.398278,1.408752,0.675774,202883
1980-05-13,0.000000,1.424463,1.403515,1.403515,0.673261,1613520
1980-05-14,0.000000,1.445411,1.382567,1.424463,0.683310,298358
1980-05-15,0.000000,1.429700,1.424463,1.429700,0.685823,221978
1980-05-16,0.000000,1.434937,1.424463,1.424463,0.683310,31029
1980-05-19,0.000000,1.429700,1.403515,1.413989,0.678286,537044
1980-05-20,0.000000,1.445411,1.419226,1.445411,0.693360,2861850
1980-05-21,0.000000,1.445411,1.445411,1.445411,0.693360,257781
1980-05-22,0.000000,1.445411,1.434937,1.445411,0.693360,57285
1980-05-23,0.000000,1.466359,1.434937,1.434937,0.688335,463052
1980-05-27,0.000000,1.471596,1.440174,1.455885,0.698384,422475
1980-05-28,0.000000,1.455885,1.424463,1.424463,0.683310,143212
1980-05-29,0.000000,1.461122,1.424463,1.461122,0.700896,231526
