Date,Open,High,Low,Close,Adj Close,Volume
2006-05-17,2.490000,2.640000,2.425000,2.545000,2.184124,97049192
2006-05-18,2.620000,2.625000,2.500000,2.625000,2.252780,16896672
2006-05-19,2.625000,2.695000,2.550000,2.600000,2.231324,4911660
2006-05-22,2.605000,2.605000,2.495000,2.550000,2.188415,4940286
2006-05-23,2.500000,2.525000,2.350000,2.500000,2.145504,21834718
2006-05-24,2.500000,2.545000,2.425000,2.500000,2.145504,8978122
2006-05-25,2.495000,2.510000,2.435000,2.500000,2.145504,5236210
2006-05-26,2.500000,2.545000,2.500000,2.525000,2.166960,2623786
2006-05-29,2.575000,2.575000,2.515000,2.550000,2.188415,3471904
2006-05-30,2.555000,2.555000,2.500000,2.545000,2.184124,1689152
2006-05-31,2.525000,2.795000,2.525000,2.725000,2.338599,4586468
2006-06-01,2.750000,2.850000,2.725000,2.725000,2.338599,4298798
2006-06-02,2.770000,2.795000,2.725000,2.765000,2.372927,4621812
2006-06-05,2.750000,2.820000,2.565000,2.805000,2.407256,2993128
2006-06-06,2.775000,2.825000,2.750000,2.800000,2.402965,2929806
2006-06-07,2.805000,2.930000,2.805000,2.900000,2.488785,4825464
2006-06-08,2.865000,2.975000,2.825000,2.900000,2.488785,4387256
2006-06-09,2.950000,3.000000,2.945000,2.950000,2.531695,3801922
2006-06-12,3.035000,3.035000,2.925000,2.925000,2.510240,1019976
2006-06-13,2.870000,2.870000,2.700000,2.800000,2.402965,2156810
2006-06-14,2.885000,2.885000,2.750000,2.805000,2.407256,1638626
2006-06-15,2.666500,2.700000,2.647500,2.690500,2.308991,1694058
2006-06-16,2.781000,2.781000,2.524000,2.619000,2.247631,2543170
2006-06-19,2.800000,2.855000,2.725000,2.800000,2.402965,2000312
2006-06-20,2.725000,2.850000,2.725000,2.750000,2.360055,1061698
2006-06-21,2.795000,2.875000,2.790000,2.830000,2.428711,1383620
2006-06-22,2.870000,3.085000,2.870000,2.950000,2.531695,2556684
2006-06-23,2.975000,3.125000,2.930000,3.115000,2.673299,2360666
2006-06-26,3.130000,3.430000,3.040000,3.060000,2.626097,3365582
2006-06-27,3.125000,3.130000,2.980000,3.050000,2.617516,1519388
