Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,6.125843,6.160982,6.125843,6.125843,1.421412,597
1962-01-03,6.125843,6.219546,6.114130,6.219546,1.443154,796
1962-01-04,6.219546,6.266398,6.219546,6.219546,1.443154,860
1962-01-05,6.219546,6.254685,6.196121,6.207834,1.440436,753
1962-01-08,6.184408,6.184408,5.950150,5.997001,1.391517,1003
1962-01-09,5.997001,6.090705,5.973576,5.973576,1.386081,689
1962-01-10,5.973576,5.997001,5.950150,5.985289,1.388798,369
1962-01-11,5.961863,5.961863,5.926724,5.950150,1.380645,298
1962-01-12,5.950150,5.961863,5.809595,5.809595,1.348031,284
1962-01-15,5.762744,5.762744,5.692466,5.692466,1.320853,689
1962-01-16,5.669040,5.669040,5.622189,5.622189,1.304545,298
1962-01-17,5.622189,5.645615,5.622189,5.622189,1.304545,853
1962-01-18,5.622189,5.622189,5.622189,5.622189,1.304545,960
1962-01-19,5.622189,5.680753,5.622189,5.645615,1.309983,1073
1962-01-22,5.669040,5.751031,5.669040,5.669040,1.315417,747
1962-01-23,5.669040,5.727605,5.633902,5.633902,1.307264,369
1962-01-24,5.633902,5.633902,5.481634,5.598763,1.299110,490
1962-01-25,5.598763,5.610476,5.540199,5.540199,1.285521,405
1962-01-26,5.540199,5.563624,5.540199,5.563624,1.290958,405
1962-01-29,5.563624,5.598763,5.540199,5.551912,1.288240,454
1962-01-30,5.563624,5.610476,5.563624,5.610476,1.301828,326
1962-01-31,5.610476,5.622189,5.587050,5.598763,1.299110,597
1962-02-01,5.587050,5.587050,5.505060,5.563624,1.290958,725
1962-02-02,5.563624,5.598763,5.528486,5.540199,1.285521,326
1962-02-05,5.575337,5.610476,5.575337,5.575337,1.293675,775
1962-02-06,5.540199,5.540199,5.458208,5.505060,1.283841,433
1962-02-07,5.516773,5.575337,5.516773,5.540199,1.292036,490
1962-02-08,5.540199,5.563624,5.481634,5.516773,1.286573,554
1962-02-09,5.516773,5.551912,5.458208,5.458208,1.272915,362
1962-02-12,5.458208,5.469921,5.446496,5.446496,1.270184,177
1962-02-13,5.505060,5.540199,5.505060,5.516773,1.286573,668
1962-02-14,5.481634,5.481634,5.399644,5.434783,1.267452,604
1962-02-15,5.434783,5.528486,5.387931,5.387931,1.256525,668
1962-02-16,5.387931,5.469921,5.387931,5.469921,1.275646,597
1962-02-19,5.481634,5.528486,5.481634,5.516773,1.286573,320
1962-02-20,5.516773,5.610476,5.493347,5.610476,1.308426,433
1962-02-21,5.622189,5.751031,5.622189,5.657328,1.319352,604
1962-02-23,5.657328,5.704179,5.645615,5.692466,1.327547,775
1962-02-26,5.692466,5.715892,5.598763,5.715892,1.333010,881
1962-02-27,5.715892,5.739318,5.715892,5.715892,1.333010,298
1962-02-28,5.715892,5.833021,5.669040,5.669040,1.322083,512
1962-03-01,5.669040,5.903298,5.645615,5.879873,1.371251,796
1962-03-02,5.879873,5.973576,5.879873,5.938437,1.384909,448
