Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.412500,3.445000,3.325000,3.355000,1.291319,13754944
2000-01-04,3.300000,3.362500,3.277500,3.302500,1.271112,8157352
2000-01-05,3.287500,3.310000,3.265000,3.297500,1.269187,7532596
2000-01-06,3.297500,3.297500,3.297500,3.297500,1.269187,0
2000-01-07,3.325000,3.370000,3.287500,3.325000,1.279772,10259804
2000-01-10,3.362500,3.370000,3.292500,3.300000,1.270149,7806188
2000-01-11,3.325000,3.347500,3.270000,3.280000,1.262452,9982020
2000-01-12,3.262500,3.275000,3.255000,3.262500,1.255716,8649216
2000-01-13,3.252500,3.285000,3.235000,3.235000,1.245131,10110040
2000-01-14,3.225000,3.230000,3.140000,3.160000,1.216264,23989912
2000-01-17,3.175000,3.182500,3.017500,3.075000,1.183548,11257776
2000-01-18,3.042500,3.097500,2.967500,3.005000,1.156605,16501904
2000-01-19,3.000000,3.077500,2.992500,3.065000,1.179699,11402864
2000-01-20,3.077500,3.092500,3.005000,3.050000,1.173926,10579680
2000-01-21,3.005000,3.075000,3.000000,3.037500,1.169115,20020284
2000-01-24,3.062500,3.062500,3.017500,3.042500,1.171039,7422308
2000-01-25,3.037500,3.092500,3.002500,3.070000,1.181624,10666300
2000-01-26,3.075000,3.090000,2.985000,3.000000,1.154681,12478868
2000-01-27,3.002500,3.025000,2.987500,3.000000,1.154681,9209324
2000-01-28,3.007500,3.020000,2.952500,2.975000,1.145059,11285132
2000-01-31,2.975000,3.000000,2.900000,2.955000,1.137361,9640120
2000-02-01,2.930000,2.980000,2.922500,2.975000,1.145059,6844140
2000-02-02,2.987500,3.065000,2.950000,3.025000,1.164303,8487268
2000-02-03,3.012500,3.072500,2.990000,3.065000,1.179699,6747040
2000-02-04,3.027500,3.115000,3.025000,3.057500,1.176813,6942700
2000-02-07,3.057500,3.070000,2.992500,3.030000,1.166228,6470332
2000-02-08,3.012500,3.045000,3.002500,3.012500,1.159493,6597996
2000-02-09,3.012500,3.025000,2.930000,2.962500,1.140247,15738676
2000-02-10,2.925000,2.972500,2.912500,2.935000,1.129663,18558516
2000-02-11,2.912500,3.027500,2.890000,3.000000,1.154681,25995180
2000-02-14,2.977500,3.040000,2.925000,2.975000,1.145059,15022740
2000-02-15,2.975000,2.985000,2.925000,2.965000,1.141210,12380096
2000-02-16,2.952500,2.997500,2.927500,2.985000,1.148908,9038132
2000-02-17,2.992500,3.037500,2.987500,3.007500,1.157568,7181336
2000-02-18,3.025000,3.062500,3.000000,3.045000,1.172001,11270724
2000-02-21,3.047500,3.112500,3.037500,3.105000,1.195095,9296680
2000-02-22,3.112500,3.210000,3.112500,3.157500,1.215302,11476932
2000-02-23,3.187500,3.300000,3.155000,3.297500,1.269187,18390404
2000-02-24,3.315000,3.350000,3.157500,3.192500,1.228773,16035184
2000-02-25,3.200000,3.235000,3.125000,3.200000,1.231660,14514296
2000-02-28,3.250000,3.320000,3.222500,3.250000,1.250904,13301516
2000-02-29,3.275000,3.287500,3.227500,3.257500,1.253791,13664468
2000-03-01,3.290000,3.387500,3.230000,3.300000,1.270149,15435328
2000-03-02,3.350000,3.375000,3.320000,3.327500,1.280734,17745632
2000-03-03,3.337500,3.525000,3.330000,3.475000,1.337506,24245464
2000-03-06,3.525000,3.567500,3.465000,3.487500,1.342317,104991120
2000-03-07,3.490000,3.545000,3.425000,3.452500,1.328846,10482888
2000-03-08,3.450000,3.567500,3.407500,3.540000,1.362524,12354352
2000-03-09,3.540000,3.570000,3.422500,3.457500,1.330770,14512324
2000-03-10,3.475000,3.475000,3.240000,3.272500,1.259565,27657244
2000-03-13,3.380000,3.445000,3.257500,3.340000,1.285545,31488256
2000-03-14,3.377500,3.600000,3.377500,3.535000,1.360600,35854656
2000-03-15,3.537500,3.607500,3.500000,3.580000,1.377920,12373772
2000-03-16,3.610000,3.737500,3.610000,3.652500,1.405825,28030728
2000-03-17,3.725000,3.737500,3.625000,3.695000,1.422182,17827232
2000-03-20,3.687500,3.730000,3.567500,3.587500,1.380806,16162184
2000-03-21,3.550000,3.672500,3.460000,3.612500,1.390428,18251592
2000-03-22,3.682500,3.687500,3.565000,3.617500,1.392353,12124200
2000-03-23,3.587500,3.637500,3.497500,3.502500,1.348090,11075432
2000-03-24,3.512500,3.550000,3.485000,3.515000,1.352902,12199032
2000-03-27,3.562500,3.612500,3.475000,3.550000,1.366373,14602820
2000-03-28,3.562500,3.562500,3.502500,3.505000,1.349053,11844004
2000-03-29,3.512500,3.527500,3.402500,3.412500,1.313450,10522460
2000-03-30,3.412500,3.435000,3.325000,3.357500,1.292281,19769756
2000-03-31,3.360000,3.437500,3.345000,3.407500,1.311526,10100956
2000-04-03,3.442500,3.450000,3.340000,3.375000,1.299017,11649148
2000-04-04,3.375000,3.437500,3.362500,3.385000,1.302865,8870376
2000-04-05,3.385000,3.405000,3.325000,3.372500,1.298054,11801760
2000-04-06,3.395000,3.420000,3.307500,3.370000,1.297092,11217924
2000-04-07,3.375000,3.390000,3.287500,3.307500,1.273036,12654888
2000-04-10,3.320000,3.337500,3.277500,3.292500,1.267263,5581176
2000-04-11,3.297500,3.320000,3.250000,3.280000,1.262452,9793540
2000-04-12,3.300000,3.300000,3.235000,3.240000,1.247056,9525756
2000-04-13,3.250000,3.307500,3.240000,3.265000,1.256678,8119764
2000-04-14,3.287500,3.345000,3.262500,3.287500,1.265338,11724896
2000-04-17,3.210000,3.355000,3.195000,3.347500,1.288432,8689896
2000-04-18,3.375000,3.375000,3.272500,3.317500,1.276885,6018308
2000-04-19,3.342500,3.375000,3.312500,3.357500,1.292281,6770384
2000-04-20,3.375000,3.400000,3.360000,3.392500,1.305752,5359384
2000-04-21,3.392500,3.392500,3.392500,3.392500,1.305752,0
2000-04-24,3.392500,3.392500,3.392500,3.392500,1.305752,0
2000-04-25,3.375000,3.480000,3.357500,3.447500,1.326921,12330932
2000-04-26,3.465000,3.492500,3.397500,3.465000,1.333657,8050064
2000-04-27,3.452500,3.465000,3.390000,3.425000,1.318260,6154292
2000-04-28,3.427500,3.532500,3.417500,3.527500,1.357712,13064956
2000-05-01,3.527500,3.527500,3.527500,3.527500,1.357712,0
2000-05-02,3.537500,3.550000,3.445000,3.482500,1.340393,4248732
2000-05-03,3.475000,3.495000,3.450000,3.475000,1.337506,42774600
2000-05-04,3.465000,3.495000,3.437500,3.490000,1.343279,6426484
2000-05-05,3.482500,3.492500,3.425000,3.465000,1.333657,4609208
2000-05-08,3.465000,3.485000,3.437500,3.450000,1.327883,5454736
2000-05-09,3.450000,3.450000,3.450000,3.450000,1.327883,0
2000-05-10,3.410000,3.420000,3.305000,3.350000,1.289394,7067880
2000-05-11,3.312500,3.415000,3.292500,3.392500,1.305752,5037392
2000-05-12,3.392500,3.420000,3.327500,3.395000,1.306714,5984680
2000-05-15,3.412500,3.415000,3.325000,3.397500,1.307677,3899692
2000-05-16,3.355000,3.447500,3.355000,3.425000,1.318260,8014448
2000-05-17,3.425000,3.435000,3.347500,3.392500,1.305752,7502076
2000-05-18,3.410000,3.462500,3.380000,3.397500,1.307677,9144000
2000-05-19,3.395000,3.400000,3.320000,3.367500,1.296130,8750480
2000-05-22,3.367500,3.372500,3.315000,3.355000,1.291319,5159664
2000-05-23,3.335000,3.477500,3.335000,3.400000,1.308639,8495836
2000-05-24,3.395000,3.475000,3.395000,3.455000,1.329808,9026900
2000-05-25,3.452500,3.462500,3.412500,3.445000,1.325959,4964380
2000-05-26,3.415000,3.422500,3.367500,3.372500,1.298054,10633412
2000-05-29,3.362500,3.400000,3.362500,3.400000,1.308639,4083104
2000-05-30,3.380000,3.422500,3.360000,3.422500,1.317299,6460540
2000-05-31,3.390000,3.440000,3.370000,3.425000,1.318260,4915020
2000-06-01,3.387500,3.472500,3.387500,3.442500,1.324997,11949280
2000-06-02,3.410000,3.500000,3.410000,3.472500,1.336543,8202368
2000-06-05,3.405000,3.472500,3.375000,3.432500,1.321148,10779864
2000-06-06,3.415000,3.427500,3.250000,3.275000,1.260527,20329876
2000-06-07,3.275000,3.357500,3.250000,3.317500,1.276885,13758976
2000-06-08,3.337500,3.350000,3.300000,3.332500,1.282658,7399424
2000-06-09,3.312500,3.400000,3.312500,3.387500,1.303828,8955692
2000-06-12,3.387500,3.395000,3.352500,3.387500,1.303828,60217280
2000-06-13,3.327500,3.450000,3.327500,3.437500,1.323072,6390684
2000-06-14,3.440000,3.455000,3.390000,3.437500,1.323072,13769024
2000-06-15,3.400000,3.450000,3.400000,3.425000,1.318260,11587340
2000-06-16,3.427500,3.460000,3.410000,3.445000,1.325959,16062952
2000-06-19,3.445000,3.445000,3.445000,3.445000,1.325959,0
2000-06-20,3.437500,3.455000,3.382500,3.430000,1.320186,7315536
2000-06-21,3.385000,3.422500,3.385000,3.390000,1.304790,22902576
2000-06-22,3.400000,3.442500,3.380000,3.397500,1.307677,17815656
2000-06-23,3.435000,3.447500,3.397500,3.445000,1.325959,22893160
2000-06-26,3.392500,3.455000,3.367500,3.450000,1.327883,15016560
2000-06-27,3.455000,3.487500,3.400000,3.400000,1.308639,11845220
2000-06-28,3.440000,3.440000,3.382500,3.392500,1.305752,4835320
2000-06-29,3.415000,3.432500,3.362500,3.387500,1.303828,20972492
2000-06-30,3.380000,3.390000,3.365000,3.375000,1.299017,6384032
2000-07-03,3.330000,3.350000,3.300000,3.310000,1.301401,3916560
2000-07-04,3.330000,3.372500,3.330000,3.347500,1.316145,3469064
2000-07-05,3.347500,3.402500,3.347500,3.362500,1.322042,6278828
2000-07-06,3.375000,3.427500,3.355000,3.425000,1.346615,6768728
2000-07-07,3.425000,3.425000,3.425000,3.425000,1.346615,0
2000-07-10,3.437500,3.447500,3.400000,3.402500,1.337770,2048964
2000-07-11,3.405000,3.427500,3.350000,3.410000,1.340718,4060504
2000-07-12,3.387500,3.422500,3.337500,3.347500,1.316145,5353704
2000-07-13,3.337500,3.337500,3.255000,3.255000,1.279777,12285008
2000-07-14,3.272500,3.282500,3.257500,3.275000,1.287640,5687056
2000-07-17,3.262500,3.277500,3.162500,3.225000,1.267981,10206228
2000-07-18,3.212500,3.222500,3.167500,3.205000,1.260118,10231260
2000-07-19,3.195000,3.220000,3.160000,3.165000,1.244391,11277276
2000-07-20,3.175000,3.185000,3.152500,3.185000,1.252254,8870520
2000-07-21,3.190000,3.202500,3.157500,3.190000,1.254220,12623508
2000-07-24,3.190000,3.190000,3.190000,3.190000,1.254220,0
2000-07-25,3.175000,3.185000,3.157500,3.162500,1.243408,3104916
2000-07-26,3.167500,3.207500,3.162500,3.170000,1.246357,18977520
2000-07-27,3.170000,3.170000,3.170000,3.170000,1.246357,0
2000-07-28,3.147500,3.170000,3.115000,3.115000,1.224732,9722456
2000-07-31,3.122500,3.140000,3.092500,3.112500,1.223749,7273940
2000-08-01,3.125000,3.145000,3.100000,3.145000,1.236528,8127276
2000-08-02,3.145000,3.247500,3.107500,3.225000,1.267981,11321356
2000-08-03,3.225000,3.312500,3.225000,3.300000,1.297470,19828624
2000-08-04,3.307500,3.315000,3.262500,3.262500,1.282725,5810624
2000-08-07,3.262500,3.322500,3.262500,3.312500,1.302384,5482852
2000-08-08,3.312500,3.330000,3.255000,3.327500,1.308281,4665416
2000-08-09,3.317500,3.325000,3.285000,3.300000,1.297470,5953832
2000-08-10,3.290000,3.322500,3.287500,3.300000,1.297470,4941736
2000-08-11,3.300000,3.302500,3.262500,3.287500,1.292554,3309352
2000-08-14,3.300000,3.310000,3.270000,3.300000,1.297470,2882768
2000-08-15,3.310000,3.312500,3.265000,3.292500,1.294521,4435436
2000-08-16,3.292500,3.325000,3.287500,3.320000,1.305332,4189432
2000-08-17,3.302500,3.322500,3.237500,3.265000,1.283708,6225432
2000-08-18,3.300000,3.337500,3.290000,3.300000,1.297470,6693920
2000-08-21,3.300000,3.337500,3.297500,3.322500,1.306316,2835348
2000-08-22,3.332500,3.340000,3.300000,3.300000,1.297470,2276040
2000-08-23,3.312500,3.320000,3.280000,3.317500,1.304350,3174152
2000-08-24,3.322500,3.340000,3.307500,3.322500,1.306316,3771472
2000-08-25,3.310000,3.337500,3.292500,3.325000,1.307299,7367716
2000-08-28,3.315000,3.315000,3.277500,3.297500,1.296486,2446392
2000-08-29,3.280000,3.280000,3.232500,3.262500,1.282725,5782556
2000-08-30,3.260000,3.260000,3.237500,3.250000,1.277810,5696300
2000-08-31,3.250000,3.267500,3.232500,3.237500,1.272896,7421536
2000-09-01,3.250000,3.252500,3.170000,3.187500,1.253237,14655860
2000-09-04,3.207500,3.225000,3.185000,3.205000,1.260118,38266364
2000-09-05,3.187500,3.252500,3.185000,3.207500,1.261101,44302520
2000-09-06,3.190000,3.257500,3.190000,3.247500,1.276828,11040800
2000-09-07,3.267500,3.312500,3.227500,3.297500,1.296486,6584068
2000-09-08,3.282500,3.315000,3.217500,3.262500,1.282725,21361944
2000-09-11,3.230000,3.282500,3.227500,3.270000,1.285674,3553924
2000-09-12,3.275000,3.305000,3.250000,3.297500,1.296486,4155496
2000-09-13,3.277500,3.325000,3.277500,3.300000,1.297470,5321464
2000-09-14,3.282500,3.312500,3.255000,3.312500,1.302384,6325612
2000-09-15,3.287500,3.337500,3.137500,3.137500,1.233579,11240604
2000-09-18,3.270000,3.275000,3.247500,3.247500,1.276828,11551624
2000-09-19,3.247500,3.260000,3.197500,3.232500,1.270930,5784024
2000-09-20,3.210000,3.220000,3.187500,3.202500,1.259135,6701140
2000-09-21,3.212500,3.275000,3.180000,3.250000,1.277810,8802624
2000-09-22,3.287500,3.400000,3.252500,3.370000,1.324991,7782456
2000-09-25,3.375000,3.392500,3.342500,3.370000,1.324991,6757148
2000-09-26,3.350000,3.470000,3.350000,3.462500,1.361360,16972248
2000-09-27,3.475000,3.540000,3.452500,3.502500,1.377086,26653864
2000-09-28,3.542500,3.612500,3.522500,3.562500,1.400677,32087972
2000-09-29,3.577500,3.612500,3.540000,3.600000,1.415421,15606860
2000-10-02,3.552500,3.655000,3.552500,3.632500,1.428199,12789572
2000-10-03,3.612500,3.650000,3.600000,3.625000,1.425250,10130316
2000-10-04,3.595000,3.625000,3.570000,3.625000,1.425250,11275596
2000-10-05,3.592500,3.637500,3.587500,3.592500,1.412472,8462672
2000-10-06,3.592500,3.675000,3.590000,3.652500,1.436062,13515876
2000-10-09,3.660000,3.752500,3.632500,3.632500,1.428199,21642760
2000-10-10,3.662500,3.710000,3.612500,3.625000,1.425250,10521752
2000-10-11,3.717500,3.745000,3.640000,3.702500,1.455721,14938412
2000-10-12,3.702500,3.702500,3.702500,3.702500,1.455721,0
2000-10-13,3.650000,3.862500,3.630000,3.790000,1.490124,28267628
2000-10-16,3.862500,3.867500,3.725000,3.835000,1.507817,19212528
2000-10-17,3.835000,3.835000,3.835000,3.835000,1.507817,0
2000-10-18,4.000000,4.032500,3.790000,3.837500,1.508800,62965360
2000-10-19,3.825000,3.975000,3.797500,3.942500,1.550083,36987416
2000-10-20,3.925000,3.925000,3.805000,3.837500,1.508800,35782996
2000-10-23,3.812500,3.825000,3.602500,3.602500,1.416404,39152328
2000-10-24,3.637500,3.665000,3.570000,3.625000,1.425250,12694076
2000-10-25,3.612500,3.650000,3.587500,3.650000,1.435080,10598260
2000-10-26,3.605000,3.650000,3.560000,3.582500,1.408540,11942128
2000-10-27,3.597500,3.700000,3.587500,3.657500,1.438028,12961700
2000-10-30,3.665000,3.665000,3.567500,3.600000,1.415421,8544608
2000-10-31,3.600000,3.600000,3.600000,3.600000,1.415421,0
2000-11-01,3.600000,3.600000,3.600000,3.600000,1.415421,0
2000-11-02,3.625000,3.637500,3.527500,3.542500,1.392814,18533944
2000-11-03,3.545000,3.600000,3.527500,3.595000,1.413455,7377444
2000-11-06,3.582500,3.710000,3.582500,3.695000,1.452772,21632416
2000-11-07,3.695000,3.732500,3.687500,3.712500,1.459653,11877384
2000-11-08,3.725000,3.750000,3.680000,3.707500,1.457687,13649932
2000-11-09,3.662500,3.757500,3.645000,3.742500,1.471448,11008024
2000-11-10,3.740000,3.785000,3.680000,3.680000,1.446875,25986332
2000-11-13,3.630000,3.737500,3.615000,3.717500,1.461618,9596132
2000-11-14,3.702500,3.735000,3.665000,3.722500,1.463585,10877672
2000-11-15,3.702500,3.712500,3.652500,3.700000,1.454738,11370144
2000-11-16,3.692500,3.740000,3.675000,3.725000,1.464567,19175932
2000-11-17,3.710000,3.750000,3.690000,3.725000,1.464567,15200036
2000-11-20,3.727500,3.750000,3.700000,3.700000,1.454738,11324212
2000-11-21,3.675000,3.747500,3.675000,3.712500,1.459653,8972748
2000-11-22,3.710000,3.710000,3.562500,3.655000,1.437045,7365764
2000-11-23,3.645000,3.700000,3.605000,3.695000,1.452772,8317736
2000-11-24,3.670000,3.675000,3.615000,3.660000,1.439011,9472688
2000-11-27,3.665000,3.672500,3.615000,3.650000,1.435080,7272732
2000-11-28,3.662500,3.702500,3.595000,3.660000,1.439011,7580380
2000-11-29,3.625000,3.635000,3.565000,3.592500,1.412472,14139708
2000-11-30,3.587500,3.587500,3.465000,3.467500,1.363326,12152056
2000-12-01,3.412500,3.525000,3.412500,3.470000,1.364308,3971964
2000-12-04,3.512500,3.512500,3.377500,3.400000,1.336786,6610676
