Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,9.064277,8.852777,8.852777,1.087428,48818
1962-01-03,0.000000,8.913205,8.731920,8.731920,1.072582,50887
1962-01-04,0.000000,8.852777,8.701706,8.701706,1.068871,45922
1962-01-05,0.000000,8.882991,8.671491,8.792348,1.080004,72813
1962-01-08,0.000000,8.762134,8.399563,8.611063,1.057737,88948
1962-01-09,0.000000,8.701706,8.459991,8.490206,1.042892,86052
1962-01-10,0.000000,8.550634,8.339134,8.429777,1.035469,53783
1962-01-11,0.000000,8.459991,8.308920,8.429777,1.035469,48818
1962-01-12,0.000000,8.550634,8.339134,8.399563,1.031758,48818
1962-01-15,0.000000,8.429777,8.157849,8.248492,1.013201,76950
1962-01-16,0.000000,8.308920,8.188063,8.218277,1.009489,40957
1962-01-17,0.000000,8.278706,8.127635,8.157849,1.002066,58747
1962-01-18,0.000000,8.278706,8.036992,8.188063,1.005778,69917
1962-01-19,0.000000,8.248492,8.097420,8.157849,1.002066,60816
1962-01-22,0.000000,8.248492,8.127635,8.188063,1.005778,66194
1962-01-23,0.000000,8.248492,8.127635,8.157849,1.002066,35579
1962-01-24,0.000000,8.157849,8.036992,8.097420,0.994644,47163
1962-01-25,0.000000,8.188063,8.067206,8.097420,0.994644,46749
1962-01-26,0.000000,8.157849,8.006778,8.006778,0.983510,30615
1962-01-29,0.000000,8.067206,8.006778,8.036992,0.987221,22340
1962-01-30,0.000000,8.188063,8.097420,8.127635,0.998355,68676
1962-01-31,0.000000,8.218277,8.127635,8.188063,1.005778,79846
1962-02-01,0.000000,8.218277,8.127635,8.127635,0.998355,42199
1962-02-02,0.000000,8.248492,8.157849,8.218277,1.009489,58333
1962-02-05,0.000000,8.308920,8.157849,8.188063,1.005778,91844
1962-02-06,0.000000,8.278706,8.127635,8.278706,1.016912,56265
1962-02-07,0.000000,8.490206,8.278706,8.490206,1.042892,111289
1962-02-08,0.000000,8.459991,8.399563,8.459991,1.039180,62884
1962-02-09,0.000000,8.550634,8.429777,8.550634,1.050314,39303
1962-02-12,0.000000,8.641277,8.550634,8.580849,1.054025,21927
1962-02-13,0.000000,8.762134,8.641277,8.762134,1.076293,27719
