Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,5.382716,5.234568,5.234568,2.541978,44550
1980-03-18,0.000000,5.333333,5.259259,5.308642,2.577949,34425
1980-03-19,0.000000,5.283951,5.234568,5.283951,2.565959,9113
1980-03-20,0.000000,5.234568,5.234568,5.234568,2.541978,7088
1980-03-21,0.000000,5.259259,5.185185,5.259259,2.553968,24300
1980-03-24,0.000000,5.259259,5.160494,5.209877,2.529988,43538
1980-03-25,0.000000,5.234568,5.086420,5.086420,2.470037,61763
1980-03-26,0.000000,5.185185,5.086420,5.160494,2.506007,81000
1980-03-27,0.000000,5.086420,4.938272,4.938272,2.398094,74419
1980-03-28,0.000000,4.987654,4.938272,4.962963,2.410084,31388
1980-03-31,0.000000,5.061728,5.012346,5.061728,2.458044,30881
1980-04-01,0.000000,5.086420,4.888889,4.888889,2.374111,266288
1980-04-02,0.000000,4.888889,4.839506,4.888889,2.374111,2531
1980-04-03,0.000000,5.111111,4.938272,5.111111,2.482027,80494
1980-04-07,0.000000,5.135802,5.061728,5.135802,2.494016,64800
1980-04-08,0.000000,5.333333,5.086420,5.333333,2.589941,181744
1980-04-09,0.000000,5.358025,5.259259,5.333333,2.589941,33919
1980-04-10,0.000000,5.333333,5.283951,5.308642,2.577949,22781
1980-04-11,0.000000,5.308642,5.160494,5.160494,2.506007,34425
1980-04-14,0.000000,5.160494,5.135802,5.135802,2.494016,15694
1980-04-15,0.000000,5.135802,5.135802,5.135802,2.494016,21263
1980-04-16,0.000000,5.160494,5.061728,5.061728,2.458044,22781
1980-04-17,0.000000,5.061728,4.938272,4.938272,2.398094,268819
1980-04-18,0.000000,5.037037,5.012346,5.012346,2.434064,10631
1980-04-21,0.000000,5.037037,4.938272,4.938272,2.398094,12656
1980-04-22,0.000000,5.037037,4.938272,5.037037,2.446054,16706
1980-04-23,0.000000,5.259259,5.135802,5.259259,2.553968,62775
1980-04-24,0.000000,5.259259,5.209877,5.234568,2.541978,4050
1980-04-25,0.000000,5.209877,5.135802,5.135802,2.494016,11644
1980-04-28,0.000000,5.209877,5.135802,5.135802,2.494016,151369
1980-04-29,0.000000,5.111111,5.111111,5.111111,2.482027,2025
1980-04-30,0.000000,5.086420,5.037037,5.061728,2.458044,17719
1980-05-01,0.000000,5.111111,5.037037,5.086420,2.470037,9113
