Date,Open,High,Low,Close,Adj Close,Volume
1997-08-15,25.746653,26.132853,25.360453,25.746653,10.426046,6064769
1997-08-18,25.617920,26.004120,24.459320,25.617920,10.373919,667757
1997-08-19,25.489185,25.553553,25.038620,25.102987,10.165398,199541
1997-08-20,24.974253,24.974253,24.330587,24.459320,9.904742,257024
1997-08-21,24.588055,24.716787,23.686920,23.751287,9.618033,293630
1997-08-22,23.300720,24.201855,23.171988,24.201855,9.800487,353153
1997-08-25,24.201855,24.201855,23.686920,24.201855,9.800487,171284
1997-08-26,24.266220,24.652420,24.201855,24.330587,9.852616,284891
1997-08-27,24.459320,24.459320,24.201855,24.201855,9.800487,30295
1997-08-28,24.201855,24.394955,24.201855,24.394955,9.878677,84477
1997-08-29,24.394955,24.716787,24.266220,24.588055,9.956877,134969
1997-09-02,24.523687,25.102987,24.523687,25.102987,10.165398,130794
1997-09-03,25.038620,25.102987,24.845520,25.038620,10.139332,140407
1997-09-04,24.845520,25.231720,24.845520,25.231720,10.217531,74282
1997-09-05,25.167353,25.231720,24.845520,25.102987,10.165398,63212
1997-09-08,24.909887,24.974253,24.909887,24.974253,10.113263,105645
1997-09-09,24.909887,25.489185,24.909887,25.231720,10.217531,164585
1997-09-10,25.102987,25.489185,24.974253,25.424820,10.295725,109335
1997-09-11,25.360453,25.360453,24.974253,25.038620,10.139332,67387
1997-09-12,25.038620,25.296087,25.038620,25.038620,10.139332,72340
1997-09-15,24.974253,25.231720,24.459320,24.716787,10.009006,175266
1997-09-16,25.102987,26.261585,24.974253,26.004120,10.530313,177305
1997-09-17,26.261585,26.261585,25.296087,25.489185,10.321788,94770
1997-09-18,25.617920,25.939753,25.424820,25.875385,10.478172,48259
1997-09-19,25.617920,25.875385,25.489185,25.811020,10.452114,92731
1997-09-22,26.132853,26.132853,26.004120,26.004120,10.530313,83118
1997-09-23,26.004120,26.261585,25.682285,25.682285,10.399979,92828
1997-09-24,25.746653,25.811020,25.489185,25.553553,10.347848,39811
1997-09-25,25.617920,26.004120,25.617920,26.004120,10.530313,64960
1997-09-26,25.875385,26.325953,25.875385,26.261585,10.634565,159827
1997-09-29,26.390320,26.647785,26.325953,26.454685,10.712763,58454
1997-09-30,26.325953,26.647785,26.261585,26.647785,10.790958,123220
1997-10-01,26.647785,26.969620,26.647785,26.647785,10.790958,61659
1997-10-02,26.776520,27.548920,26.776520,27.162720,10.999486,123220
1997-10-03,27.548920,27.806385,27.355820,27.742020,11.234069,60590
1997-10-06,27.742020,27.742020,27.162720,27.162720,10.999486,141183
1997-10-07,27.033985,27.033985,26.004120,26.905252,10.895220,165264
1997-10-08,27.033985,27.291452,26.905252,27.033985,10.947349,73893
1997-10-09,26.905252,27.162720,26.776520,26.776520,10.843091,137105
1997-10-10,26.776520,26.905252,26.583420,26.583420,10.764896,33111
1997-10-13,26.969620,26.969620,26.519053,26.647785,10.790958,46608
1997-10-14,26.776520,27.033985,26.647785,26.840885,10.869159,21362
1997-10-15,26.840885,26.840885,26.647785,26.712152,10.817030,6991
1997-10-16,26.712152,26.905252,26.519053,26.519053,10.738831,50686
1997-10-17,26.519053,26.776520,26.132853,26.261585,10.634565,65640
1997-10-20,26.261585,26.261585,26.068485,26.132853,10.582440,88264
1997-10-21,26.132853,27.162720,26.132853,27.162720,10.999486,75447
1997-10-22,27.162720,27.677652,26.776520,26.776520,10.843091,180412
1997-10-23,26.390320,26.519053,25.811020,26.390320,10.686701,45928
1997-10-24,26.519053,26.583420,26.390320,26.390320,10.686701,166818
1997-10-27,26.519053,26.519053,24.394955,24.394955,9.878677,47385
1997-10-28,24.330587,26.454685,23.429455,26.454685,10.712763,93896
1997-10-29,26.390320,26.390320,25.875385,25.939753,10.504243,93410
1997-10-30,25.746653,25.939753,25.746653,25.746653,10.426046,8254
1997-10-31,25.682285,25.875385,25.489185,25.811020,10.452114,37286
1997-11-03,26.004120,26.004120,25.617920,25.617920,10.373919,52822
1997-11-04,25.553553,25.553553,24.716787,25.167353,10.191462,63892
1997-11-05,25.167353,25.811020,25.038620,25.424820,10.295725,46511
1997-11-06,25.553553,25.682285,25.102987,25.102987,10.165398,28839
1997-11-07,25.102987,25.102987,24.716787,24.974253,10.113263,36218
1997-11-10,25.038620,25.682285,24.909887,25.617920,10.373919,13206
1997-11-11,25.617920,26.068485,25.617920,25.875385,10.478172,32820
1997-11-12,26.004120,26.454685,25.746653,26.390320,10.686701,44666
1997-11-13,26.004120,26.068485,25.939753,25.939753,10.570245,139436
1997-11-14,25.939753,26.132853,25.939753,26.068485,10.622700,36607
1997-11-17,26.068485,26.068485,26.004120,26.004120,10.596477,4758
1997-11-18,26.519053,26.519053,26.390320,26.519053,10.806306,20488
1997-11-19,26.647785,26.776520,26.390320,26.583420,10.832533,92536
1997-11-20,26.647785,26.776520,26.647785,26.776520,10.911220,33888
1997-11-21,26.776520,26.905252,26.647785,26.776520,10.911220,50686
1997-11-24,26.647785,26.712152,26.261585,26.261585,10.701385,13885
1997-11-25,26.132853,26.647785,26.004120,26.454685,10.780070,41947
1997-11-26,26.454685,26.776520,26.390320,26.519053,10.806306,161769
1997-11-28,26.454685,26.776520,26.454685,26.776520,10.911220,22624
1997-12-01,26.776520,26.905252,26.776520,26.776520,10.911220,82341
1997-12-02,26.776520,27.162720,26.776520,26.905252,10.963677,40976
1997-12-03,26.905252,27.033985,26.454685,26.454685,10.780070,18740
1997-12-04,26.454685,26.647785,26.132853,26.519053,10.806306,24469
1997-12-05,26.390320,26.776520,26.390320,26.776520,10.911220,20391
1997-12-08,26.776520,27.033985,26.519053,26.519053,10.806306,121181
1997-12-09,26.647785,26.776520,26.583420,26.776520,10.911220,16895
1997-12-10,26.776520,26.776520,26.647785,26.647785,10.858758,14274
1997-12-11,26.712152,26.712152,26.583420,26.647785,10.858758,10487
1997-12-12,26.712152,26.712152,26.390320,26.454685,10.780070,19711
1997-12-15,26.519053,26.776520,26.519053,26.776520,10.911220,119433
