Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.980000,8.380000,7.800000,8.140000,5.082107,998010
2000-01-04,8.090000,8.290000,7.910000,8.250000,5.150784,540944
2000-01-05,8.120000,8.500000,7.900000,8.240000,5.144541,307646
2000-01-06,null,null,null,null,null,null
2000-01-07,8.410000,8.680000,8.400000,8.510000,5.313115,326049
2000-01-10,8.950000,9.250000,8.750000,9.110000,5.687715,662521
2000-01-11,9.200000,9.350000,8.750000,8.950000,5.587821,458717
2000-01-12,8.880000,8.940000,8.310000,8.480000,5.294383,281966
2000-01-13,8.540000,8.860000,8.350000,8.600000,5.369304,277164
2000-01-14,8.700000,8.750000,8.250000,8.260000,5.157029,137482
2000-01-17,8.280000,8.280000,7.830000,7.990000,4.988458,298897
2000-01-18,7.990000,7.990000,7.300000,7.400000,4.620099,226557
2000-01-19,7.470000,7.550000,6.970000,7.170000,4.476501,528881
2000-01-20,7.150000,7.600000,7.100000,7.450000,4.651315,198980
2000-01-21,7.600000,7.840000,7.460000,7.800000,4.869833,162056
2000-01-24,8.000000,8.380000,7.990000,8.350000,5.213219,435030
2000-01-25,8.200000,8.280000,8.050000,8.260000,5.157029,131439
2000-01-26,8.320000,8.370000,8.020000,8.130000,5.075866,173233
2000-01-27,8.030000,8.100000,7.630000,7.690000,4.801155,181833
2000-01-28,7.750000,7.800000,7.500000,7.670000,4.788668,106707
2000-01-31,7.790000,7.790000,7.300000,7.630000,4.793746,225340
2000-02-01,7.790000,7.800000,7.450000,7.700000,4.837725,68992
2000-02-02,7.700000,7.750000,7.360000,7.500000,4.712071,101106
2000-02-03,7.380000,7.640000,7.350000,7.500000,4.712071,129087
2000-02-04,7.500000,7.560000,7.300000,7.460000,4.686939,137131
2000-02-07,7.410000,7.600000,7.250000,7.280000,4.573850,234292
2000-02-08,7.400000,7.770000,7.350000,7.590000,4.768615,163465
2000-02-09,7.700000,7.700000,7.400000,7.530000,4.730918,115215
2000-02-10,7.400000,7.660000,7.400000,7.530000,4.730918,80985
2000-02-11,7.530000,7.540000,7.310000,7.390000,4.642959,73714
