Date,Open,High,Low,Close,Adj Close,Volume
1982-01-04,5.484461,5.541590,5.398766,5.513026,1.831987,321198
1982-01-05,5.398766,5.513026,5.255941,5.427331,1.803511,442414
1982-01-06,5.170247,5.341636,4.970293,5.113117,1.699096,565817
1982-01-07,5.027422,5.113117,4.913163,4.998857,1.661128,508929
1982-01-08,5.027422,5.084552,4.970293,5.027422,1.670620,340453
1982-01-11,4.856033,5.084552,4.627514,4.713208,1.566206,521182
1982-01-12,4.741773,4.827468,4.656079,4.827468,1.604175,473483
1982-01-13,4.713208,4.856033,4.570384,4.627514,1.537730,313322
1982-01-14,4.713208,4.856033,4.570384,4.770338,1.585191,260810
1982-01-15,4.856033,4.913163,4.798903,4.913163,1.632651,185980
1982-01-18,4.856033,4.913163,4.798903,4.884598,1.623159,208735
1982-01-19,4.627514,4.856033,4.398995,4.484689,1.490268,1352184
1982-01-20,4.541819,4.627514,4.456124,4.627514,1.537730,477422
1982-01-21,4.627514,4.656079,4.570384,4.598949,1.528238,393402
1982-01-22,4.598949,4.656079,4.541819,4.598949,1.528238,238054
1982-01-25,4.598949,4.656079,4.541819,4.570384,1.518745,223614
1982-01-26,4.513254,4.627514,4.398995,4.456124,1.480777,329513
1982-01-27,4.541819,4.627514,4.456124,4.627514,1.537730,160162
1982-01-28,4.741773,4.798903,4.656079,4.741773,1.575698,301944
1982-01-29,4.856033,4.913163,4.798903,4.798903,1.594682,326012
1982-02-01,4.684644,4.741773,4.627514,4.656079,1.547221,123841
1982-02-02,4.627514,4.656079,4.570384,4.570384,1.518745,227990
1982-02-03,4.541819,4.627514,4.456124,4.513254,1.499761,197358
1982-02-04,4.541819,4.570384,4.484689,4.541819,1.509254,176353
1982-02-05,4.513254,4.570384,4.456124,4.484689,1.496291,123841
1982-02-08,4.398995,4.484689,4.284735,4.284735,1.429578,328638
1982-02-09,4.284735,4.341865,4.199040,4.256170,1.420048,207860
1982-02-10,4.170475,4.313300,3.999086,4.056216,1.353334,397778
1982-02-11,4.084781,4.170475,3.970521,4.027651,1.343803,400842
1982-02-12,4.170475,4.227605,4.084781,4.113346,1.372395,541311
1982-02-16,4.056216,4.113346,3.970521,4.084781,1.362865,231053
1982-02-17,4.141910,4.170475,4.084781,4.084781,1.362865,408281
1982-02-18,4.199040,4.256170,4.141910,4.227605,1.410517,163225
1982-02-19,4.199040,4.227605,4.141910,4.199040,1.400986,138282
1982-02-22,4.199040,4.341865,4.056216,4.056216,1.353334,187293
1982-02-23,3.999086,4.084781,3.884826,4.084781,1.362865,267374
1982-02-24,4.141910,4.227605,4.027651,4.141910,1.381925,301944
1982-02-25,4.170475,4.256170,4.084781,4.227605,1.410517,497551
1982-02-26,4.284735,4.313300,4.227605,4.284735,1.429578,250307
1982-03-01,4.227605,4.313300,4.141910,4.256170,1.420048,213111
1982-03-02,4.227605,4.313300,4.113346,4.113346,1.372395,136094
1982-03-03,4.027651,4.113346,3.913391,4.027651,1.343803,514180
1982-03-04,3.799132,3.913391,3.656307,3.742002,1.248497,267374
1982-03-05,3.713437,3.856261,3.542048,3.656307,1.219907,344829
1982-03-08,3.627742,3.799132,3.427788,3.427788,1.143663,262560
1982-03-09,3.484918,3.599177,3.370658,3.513483,1.172254,392090
1982-03-10,3.656307,3.827697,3.484918,3.656307,1.219907,238930
1982-03-11,3.742002,3.799132,3.684872,3.684872,1.229437,140907
1982-03-12,3.684872,3.742002,3.627742,3.684872,1.229437,143533
1982-03-15,3.799132,3.856261,3.742002,3.799132,1.267559,99773
1982-03-16,3.856261,3.941956,3.742002,3.827697,1.277090,128217
1982-03-17,3.884826,3.913391,3.856261,3.884826,1.296151,59076
1982-03-18,4.027651,4.113346,3.913391,4.113346,1.372395,208298
1982-03-19,4.170475,4.227605,4.084781,4.113346,1.372395,141782
1982-03-22,4.113346,4.170475,4.056216,4.113346,1.372395,111150
1982-03-23,4.141910,4.227605,4.027651,4.141910,1.381925,195170
1982-03-24,3.999086,4.141910,3.827697,3.913391,1.305682,215299
1982-03-25,3.913391,3.999086,3.827697,3.970521,1.324743,217925
1982-03-26,3.913391,3.970521,3.856261,3.913391,1.305682,152722
1982-03-29,3.827697,3.884826,3.770567,3.799132,1.267559,192982
1982-03-30,3.856261,3.913391,3.770567,3.884826,1.296151,141782
1982-03-31,3.970521,4.056216,3.884826,4.027651,1.343803,168914
1982-04-01,4.027651,4.056216,3.970521,4.027651,1.343803,132155
1982-04-02,4.141910,4.227605,4.056216,4.170475,1.391457,391652
1982-04-05,4.227605,4.284735,4.141910,4.170475,1.391457,227552
1982-04-06,4.199040,4.227605,4.141910,4.170475,1.391457,261247
1982-04-07,4.227605,4.284735,4.141910,4.170475,1.391457,227552
1982-04-08,4.170475,4.227605,4.113346,4.141910,1.381925,862947
1982-04-12,4.027651,4.170475,3.856261,3.970521,1.324743,202171
1982-04-13,3.884826,3.970521,3.770567,3.884826,1.296151,326450
1982-04-14,3.856261,3.941956,3.770567,3.827697,1.277090,198233
1982-04-15,3.770567,3.827697,3.713437,3.799132,1.267559,581570
1982-04-16,3.799132,3.856261,3.742002,3.827697,1.277090,312884
1982-04-19,3.770567,3.827697,3.684872,3.713437,1.238967,354018
1982-04-20,3.713437,3.742002,3.656307,3.713437,1.238967,259497
1982-04-21,3.684872,3.713437,3.656307,3.684872,1.229437,259934
1982-04-22,3.770567,3.884826,3.627742,3.884826,1.296151,407406
1982-04-23,3.970521,4.027651,3.913391,4.027651,1.343803,405655
1982-04-26,4.170475,4.256170,4.056216,4.227605,1.410517,288378
1982-04-27,4.256170,4.341865,4.170475,4.313300,1.439110,635833
1982-04-28,4.484689,4.656079,4.313300,4.656079,1.553474,543062
1982-04-29,4.513254,4.598949,4.398995,4.398995,1.467701,804746
1982-04-30,4.456124,4.541819,4.370430,4.484689,1.496291,321636
1982-05-03,4.484689,4.541819,4.427559,4.513254,1.505823,143533
1982-05-04,4.456124,4.513254,4.370430,4.370430,1.458170,200421
1982-05-05,4.370430,4.427559,4.284735,4.313300,1.439110,135218
1982-05-06,4.370430,4.398995,4.313300,4.370430,1.464377,74830
1982-05-07,4.484689,4.541819,4.427559,4.541819,1.521803,242430
1982-05-10,4.627514,4.684644,4.570384,4.656079,1.560087,355769
1982-05-11,4.770338,4.913163,4.627514,4.884598,1.636657,515930
1982-05-12,4.884598,4.970293,4.798903,4.941728,1.655799,569318
1982-05-13,4.941728,4.970293,4.884598,4.913163,1.646227,299318
1982-05-14,4.913163,4.941728,4.884598,4.913163,1.646227,206985
1982-05-17,4.798903,4.913163,4.656079,4.713208,1.579229,169789
1982-05-18,4.627514,4.684644,4.570384,4.656079,1.560087,147034
1982-05-19,4.713208,4.798903,4.598949,4.684644,1.569660,200421
1982-05-20,4.627514,4.656079,4.570384,4.570384,1.531374,86207
1982-05-21,4.570384,4.627514,4.484689,4.513254,1.512232,139594
1982-05-24,4.627514,4.656079,4.570384,4.570384,1.531374,86207
1982-05-25,4.656079,4.684644,4.598949,4.627514,1.550518,129092
1982-05-26,4.541819,4.598949,4.456124,4.484689,1.502660,104586
1982-05-27,4.427559,4.456124,4.370430,4.398995,1.473948,114651
1982-05-28,4.456124,4.513254,4.370430,4.427559,1.483518,143533
1982-06-01,4.427559,4.456124,4.370430,4.456124,1.493090,88833
1982-06-02,4.484689,4.570384,4.398995,4.570384,1.531374,81394
1982-06-03,4.570384,4.627514,4.513254,4.541819,1.521803,291004
1982-06-04,4.541819,4.598949,4.484689,4.513254,1.512232,265623
1982-06-07,4.484689,4.513254,4.427559,4.484689,1.502660,106337
1982-06-08,4.484689,4.513254,4.427559,4.456124,1.493090,72204
1982-06-09,4.398995,4.456124,4.341865,4.341865,1.454806,117277
1982-06-10,4.284735,4.313300,4.227605,4.256170,1.426093,102836
1982-06-11,4.284735,4.427559,4.284735,4.398995,1.473948,117277
1982-06-14,4.398995,4.427559,4.341865,4.341865,1.454806,158411
1982-06-15,4.313300,4.341865,4.284735,4.313300,1.445235,115964
1982-06-16,4.256170,4.341865,4.170475,4.227605,1.416521,95397
1982-06-17,4.027651,4.113346,3.941956,3.941956,1.320811,104149
1982-06-18,3.856261,3.941956,3.770567,3.770567,1.263384,189481
1982-06-21,3.827697,3.884826,3.770567,3.770567,1.263384,185980
1982-06-22,3.799132,3.856261,3.713437,3.799132,1.272955,87958
1982-06-23,3.856261,3.913391,3.770567,3.913391,1.311239,182042
1982-06-24,3.913391,3.970521,3.827697,3.970521,1.330381,210923
1982-06-25,3.999086,4.027651,3.941956,3.941956,1.320811,95397
1982-06-28,3.970521,3.999086,3.941956,3.999086,1.339952,78330
1982-06-29,3.913391,3.970521,3.827697,3.827697,1.282526,72642
1982-06-30,3.770567,3.856261,3.656307,3.684872,1.234671,329950
1982-07-01,3.656307,3.684872,3.599177,3.599177,1.205957,168914
1982-07-02,3.627742,3.656307,3.570612,3.599177,1.205957,192106
1982-07-06,3.627742,3.627742,3.599177,3.627742,1.215528,94084
1982-07-07,3.627742,3.656307,3.599177,3.599177,1.205957,105462
1982-07-08,3.599177,3.656307,3.542048,3.656307,1.225100,186418
1982-07-09,3.684872,3.742002,3.627742,3.656307,1.225100,291004
1982-07-12,3.570612,3.656307,3.484918,3.513483,1.177244,157536
1982-07-13,3.427788,3.513483,3.342093,3.399223,1.138960,455979
1982-07-14,3.399223,3.427788,3.342093,3.399223,1.138960,186855
1982-07-15,3.456353,3.484918,3.427788,3.456353,1.158102,220113
1982-07-16,3.456353,3.484918,3.399223,3.427788,1.148531,150534
1982-07-19,3.484918,3.513483,3.427788,3.456353,1.158102,94522
1982-07-20,3.456353,3.513483,3.399223,3.427788,1.148531,137844
1982-07-21,3.484918,3.513483,3.427788,3.456353,1.158102,154473
1982-07-22,3.599177,3.742002,3.456353,3.713437,1.244241,208735
1982-07-23,3.770567,3.827697,3.684872,3.713437,1.244241,125591
1982-07-26,3.713437,3.742002,3.656307,3.684872,1.234671,84894
1982-07-27,3.627742,3.713437,3.542048,3.570612,1.196386,177666
1982-07-28,3.484918,3.542048,3.427788,3.456353,1.158102,153598
1982-07-29,3.456353,3.484918,3.399223,3.456353,1.158102,112026
1982-07-30,3.456353,3.484918,3.399223,3.427788,1.148531,89708
1982-08-02,3.456353,3.484918,3.399223,3.456353,1.158102,289691
1982-08-03,3.542048,3.570612,3.484918,3.513483,1.177244,160162
1982-08-04,3.399223,3.456353,3.342093,3.370658,1.129389,169789
1982-08-05,3.342093,3.399223,3.256399,3.313528,1.110246,245056
1982-08-06,3.342093,3.370658,3.284963,3.313528,1.116406,162350
1982-08-09,3.227834,3.256399,3.170704,3.227834,1.087533,139157
1982-08-10,3.227834,3.284963,3.170704,3.170704,1.068285,123403
1982-08-11,3.199269,3.227834,3.142139,3.170704,1.068285,126029
1982-08-12,3.170704,3.227834,3.085009,3.142139,1.058661,178103
1982-08-13,3.113574,3.142139,3.085009,3.113574,1.049036,105899
1982-08-16,3.113574,3.142139,3.085009,3.085009,1.039413,77018
1982-08-17,3.227834,3.313528,3.113574,3.313528,1.116406,156223
1982-08-18,3.399223,3.484918,3.284963,3.313528,1.116406,207860
1982-08-19,3.313528,3.427788,3.199269,3.256399,1.097158,189043
1982-08-20,3.284963,3.342093,3.199269,3.342093,1.126030,88833
1982-08-23,3.342093,3.427788,3.256399,3.342093,1.126030,170664
1982-08-24,3.399223,3.484918,3.284963,3.484918,1.174151,254683
1982-08-25,3.713437,3.970521,3.427788,3.884826,1.308889,522057
1982-08-26,4.170475,4.398995,3.941956,4.199040,1.414755,800808
1982-08-27,4.113346,4.227605,3.999086,4.027651,1.357011,242430
1982-08-30,3.884826,3.970521,3.799132,3.884826,1.308889,138719
1982-08-31,3.827697,3.884826,3.770567,3.827697,1.289641,108087
1982-09-01,3.827697,3.884826,3.770567,3.770567,1.270394,96710
1982-09-02,3.827697,3.884826,3.770567,3.884826,1.308889,235429
1982-09-03,3.941956,3.999086,3.884826,3.913391,1.318514,378962
1982-09-07,3.913391,3.941956,3.856261,3.884826,1.308889,109400
1982-09-08,3.999086,4.141910,3.827697,4.113346,1.385884,499739
1982-09-09,4.170475,4.256170,4.056216,4.227605,1.424380,632332
1982-09-10,4.170475,4.227605,4.113346,4.170475,1.405132,451166
1982-09-13,4.113346,4.170475,4.027651,4.056216,1.366635,89270
1982-09-14,4.084781,4.170475,3.999086,4.170475,1.405132,247682
1982-09-15,4.056216,4.113346,3.999086,4.056216,1.366635,131718
1982-09-16,4.113346,4.141910,4.056216,4.113346,1.385884,157098
1982-09-17,4.084781,4.113346,4.027651,4.056216,1.366635,121215
1982-09-20,3.999086,4.056216,3.913391,3.999086,1.347387,100210
1982-09-21,4.084781,4.141910,3.999086,4.113346,1.385884,179854
1982-09-22,4.084781,4.199040,3.941956,3.941956,1.328138,201734
1982-09-23,4.027651,4.113346,3.941956,4.056216,1.366635,234116
1982-09-24,4.113346,4.170475,4.056216,4.141910,1.395507,336514
1982-09-27,4.199040,4.284735,4.084781,4.284735,1.443628,142220
1982-09-28,4.313300,4.341865,4.256170,4.284735,1.443628,218362
1982-09-29,4.141910,4.227605,4.027651,4.141910,1.395507,234991
1982-09-30,4.084781,4.141910,3.999086,4.084781,1.376259,228427
1982-10-01,4.056216,4.113346,3.999086,4.084781,1.376259,222738
1982-10-04,4.056216,4.084781,3.999086,4.056216,1.366635,89708
1982-10-05,4.113346,4.141910,4.056216,4.056216,1.366635,77893
1982-10-06,4.256170,4.398995,4.084781,4.370430,1.472501,306320
1982-10-07,4.427559,4.513254,4.341865,4.398995,1.482126,473921
1982-10-08,4.456124,4.484689,4.427559,4.456124,1.501373,230615
1982-10-11,4.456124,4.541819,4.370430,4.398995,1.482126,243306
1982-10-12,4.313300,4.456124,4.170475,4.170475,1.405132,356206
1982-10-13,4.427559,4.627514,4.199040,4.513254,1.520622,556190
1982-10-14,4.741773,4.856033,4.627514,4.741773,1.597616,461230
1982-10-15,4.741773,4.798903,4.684644,4.684644,1.578368,243743
1982-10-18,4.827468,4.884598,4.741773,4.856033,1.636111,354456
1982-10-19,4.970293,5.027422,4.884598,4.970293,1.674609,569318
1982-10-20,5.055987,5.170247,4.941728,5.141682,1.732354,232803
1982-10-21,5.198812,5.255941,5.113117,5.198812,1.751602,468232
1982-10-22,5.170247,5.227377,5.084552,5.141682,1.732354,252495
1982-10-25,4.941728,5.141682,4.713208,4.770338,1.607241,512867
1982-10-26,4.684644,4.741773,4.598949,4.713208,1.587991,367584
1982-10-27,4.856033,4.913163,4.798903,4.827468,1.626488,184230
1982-10-28,4.741773,4.856033,4.598949,4.627514,1.559119,252058
1982-10-29,4.541819,4.598949,4.456124,4.456124,1.501373,164975
1982-11-01,4.570384,4.770338,4.341865,4.770338,1.607241,274813
1982-11-02,4.856033,5.027422,4.684644,4.970293,1.674609,420534
1982-11-03,5.113117,5.255941,4.970293,5.255941,1.770851,587259
1982-11-04,5.255941,5.370201,5.141682,5.170247,1.741979,616141
1982-11-05,5.141682,5.170247,5.084552,5.084552,1.720712,172852
1982-11-08,5.055987,5.113117,4.970293,5.084552,1.720712,171102
1982-11-09,5.141682,5.255941,5.027422,5.170247,1.749712,205672
1982-11-10,5.055987,5.227377,4.884598,4.970293,1.682043,195170
1982-11-11,4.827468,4.913163,4.713208,4.856033,1.643375,191231
1982-11-12,4.770338,4.941728,4.598949,4.656079,1.575708,876513
1982-11-15,4.627514,4.741773,4.484689,4.741773,1.604708,219238
1982-11-16,4.656079,4.798903,4.513254,4.798903,1.624043,239367
1982-11-17,4.941728,4.998857,4.856033,4.998857,1.691711,139594
1982-11-18,5.170247,5.255941,5.055987,5.255941,1.778713,305007
1982-11-19,5.227377,5.255941,5.170247,5.170247,1.749712,346579
1982-11-22,5.198812,5.255941,5.113117,5.141682,1.740045,356644
1982-11-23,5.113117,5.170247,5.055987,5.113117,1.730378,279626
1982-11-24,5.141682,5.170247,5.084552,5.084552,1.720712,375023
1982-11-26,5.141682,5.198812,5.084552,5.170247,1.749712,73954
1982-11-29,4.998857,5.141682,4.856033,4.913163,1.662710,570630
1982-11-30,4.998857,5.113117,4.856033,5.084552,1.720712,146596
1982-12-01,5.027422,5.084552,4.970293,4.970293,1.682043,117714
1982-12-02,4.884598,4.970293,4.770338,4.770338,1.614376,470420
1982-12-03,4.798903,4.827468,4.741773,4.798903,1.624043,138719
1982-12-06,4.770338,4.856033,4.684644,4.741773,1.604708,185105
1982-12-07,4.827468,4.856033,4.770338,4.856033,1.643375,412657
1982-12-08,4.827468,4.884598,4.741773,4.856033,1.643375,275250
1982-12-09,4.913163,4.998857,4.798903,4.998857,1.691711,364083
1982-12-10,4.970293,5.113117,4.827468,5.113117,1.730378,176353
1982-12-13,4.998857,5.113117,4.884598,4.970293,1.682043,581133
1982-12-14,4.941728,5.055987,4.798903,4.827468,1.633709,416158
1982-12-15,4.741773,4.798903,4.684644,4.713208,1.595041,379399
1982-12-16,4.770338,4.856033,4.684644,4.798903,1.624043,157974
1982-12-17,4.941728,5.084552,4.770338,5.027422,1.701377,727291
1982-12-20,5.113117,5.198812,4.998857,5.027422,1.701377,255558
1982-12-21,5.113117,5.198812,4.998857,5.170247,1.749712,193857
1982-12-22,5.255941,5.341636,5.141682,5.284506,1.788380,479172
1982-12-23,5.227377,5.313071,5.141682,5.170247,1.749712,148784
1982-12-27,5.227377,5.313071,5.141682,5.284506,1.788380,175915
1982-12-28,5.313071,5.598720,4.998857,5.084552,1.720712,547875
1982-12-29,5.227377,5.341636,5.084552,5.341636,1.807714,303257
